id,fromUserId,toUserId,jobId,body,status,createdAt
1,2,5,3,.,READ,2026-05-23 16:55
2,2,5,3,.,READ,2026-05-23 16:56
3,2,5,3,.,READ,2026-05-23 16:56
6,2,5,3,what are you talking about?,READ,2026-05-23 21:15
7,2,5,3,I am an apple,READ,2026-05-23 21:24
8,2,5,3,I am a pen,READ,2026-05-23 21:24
9,2,5,3,OH,READ,2026-05-23 21:24
10,2,5,3,apple pen,READ,2026-05-23 21:24
11,2,4,2,please let me talk,UNREAD,2026-05-23 21:25
12,2,4,2,a ?,UNREAD,2026-05-23 21:26
13,2,4,2,jjjj,UNREAD,2026-05-23 21:26
